county,race,education_level,percentage
Orange,All Races,MA degree or higher,15.94
Riverside,Asian/Pacific Islander,Less than HS Diploma,10.37
Riverside,Black,Less than HS Diploma,6.5
Riverside,Hispanic/Latino,Less than HS Diploma,30.16
Riverside,Multiracial/Other,Less than HS Diploma,7.09
Riverside,Native American,Less than HS Diploma,11.7
Riverside,White,Less than HS Diploma,5.49
Riverside,All Races,Less than HS Diploma,16.9
Riverside,Asian/Pacific Islander,HS Diploma,15.2
Riverside,Black,HS Diploma,25.82
Riverside,Hispanic/Latino,HS Diploma,31.5
Riverside,Multiracial/Other,HS Diploma,20.84
Riverside,Native American,HS Diploma,37.92
Riverside,White,HS Diploma,24.49
Riverside,All Races,HS Diploma,26.92
Riverside,Asian/Pacific Islander,Some College,18.74
Riverside,Black,Some College,29.66
Riverside,Hispanic/Latino,Some College,19.41
Riverside,Multiracial/Other,Some College,28.98
Riverside,Native American,Some College,23.17
Riverside,White,Some College,27.92
Riverside,All Races,Some College,23.58
Riverside,Asian/Pacific Islander,AA Degree,8.56
Riverside,Black,AA Degree,10.9
Riverside,Hispanic/Latino,AA Degree,6.7
Riverside,Multiracial/Other,AA Degree,11.34
Riverside,Native American,AA Degree,7.72
Riverside,White,AA Degree,10.21
Riverside,All Races,AA Degree,8.6
Riverside,Asian/Pacific Islander,BA degree,32.3
Riverside,Black,BA degree,17.2
Riverside,Hispanic/Latino,BA degree,8.43
Riverside,Multiracial/Other,BA degree,19.38
Riverside,Native American,BA degree,12.17
Riverside,White,BA degree,19.1
Riverside,All Races,BA degree,15.24
Riverside,Asian/Pacific Islander,MA degree or higher,14.82
Riverside,Black,MA degree or higher,9.92
Riverside,Hispanic/Latino,MA degree or higher,3.8
Riverside,Multiracial/Other,MA degree or higher,12.38
Riverside,Native American,MA degree or higher,7.31
Riverside,White,MA degree or higher,12.79
Riverside,All Races,MA degree or higher,8.75
San Bernardino,Asian/Pacific Islander,Less than HS Diploma,9.01
San Bernardino,Black,Less than HS Diploma,11.15
San Bernardino,Hispanic/Latino,Less than HS Diploma,29.55
San Bernardino,Multiracial/Other,Less than HS Diploma,7.33
San Bernardino,Native American,Less than HS Diploma,13.06
San Bernardino,White,Less than HS Diploma,7.49
San Bernardino,All Races,Less than HS Diploma,18.82
San Bernardino,Asian/Pacific Islander,HS Diploma,14.29
San Bernardino,Black,HS Diploma,25.72
San Bernardino,Hispanic/Latino,HS Diploma,30.79
San Bernardino,Multiracial/Other,HS Diploma,20.18
San Bernardino,Native American,HS Diploma,36.74
San Bernardino,White,HS Diploma,26.54
San Bernardino,All Races,HS Diploma,27.34
San Bernardino,Asian/Pacific Islander,Some College,15.43
San Bernardino,Black,Some College,29.65
San Bernardino,Hispanic/Latino,Some College,20.14
San Bernardino,Multiracial/Other,Some College,30.02
San Bernardino,Native American,Some College,32.75
San Bernardino,White,Some College,27.82
San Bernardino,All Races,Some College,23.16
San Bernardino,Asian/Pacific Islander,AA Degree,9.85
San Bernardino,Black,AA Degree,9.98
San Bernardino,Hispanic/Latino,AA Degree,7.15
San Bernardino,Multiracial/Other,AA Degree,11.6
San Bernardino,Native American,AA Degree,4.16
San Bernardino,White,AA Degree,9.68
San Bernardino,All Races,AA Degree,8.51
San Bernardino,Asian/Pacific Islander,BA degree,33.45
San Bernardino,Black,BA degree,15.22
San Bernardino,Hispanic/Latino,BA degree,8.86
San Bernardino,Multiracial/Other,BA degree,18.34
San Bernardino,Native American,BA degree,10.49
San Bernardino,White,BA degree,17.05
San Bernardino,All Races,BA degree,14.33
San Bernardino,Asian/Pacific Islander,MA degree or higher,17.97
San Bernardino,Black,MA degree or higher,8.28
San Bernardino,Hispanic/Latino,MA degree or higher,3.52
San Bernardino,Multiracial/Other,MA degree or higher,12.54
San Bernardino,Native American,MA degree or higher,2.8
San Bernardino,White,MA degree or higher,11.41
San Bernardino,All Races,MA degree or higher,7.85
Ventura,Asian/Pacific Islander,Less than HS Diploma,6.15
Ventura,Black,Less than HS Diploma,6.31
Ventura,Hispanic/Latino,Less than HS Diploma,33.13
Ventura,Multiracial/Other,Less than HS Diploma,3.67
Ventura,Native American,Less than HS Diploma,20.32
Ventura,White,Less than HS Diploma,3.34
Ventura,All Races,Less than HS Diploma,14.79
Ventura,Asian/Pacific Islander,HS Diploma,11.45
Ventura,Black,HS Diploma,19.91
Ventura,Hispanic/Latino,HS Diploma,25.62
Ventura,Multiracial/Other,HS Diploma,16.12
Ventura,Native American,HS Diploma,20.59
Ventura,White,HS Diploma,16.62
Ventura,All Races,HS Diploma,19.61
Ventura,Asian/Pacific Islander,Some College,12.26
Ventura,Black,Some College,18.34
Ventura,Hispanic/Latino,Some College,18.25
Ventura,Multiracial/Other,Some College,23.22
Ventura,Native American,Some College,30.89
Ventura,White,Some College,23.11
Ventura,All Races,Some College,20.34
Ventura,Asian/Pacific Islander,AA Degree,9.47
Ventura,Black,AA Degree,15.89
Ventura,Hispanic/Latino,AA Degree,7.69
Ventura,Multiracial/Other,AA Degree,13.57
Ventura,Native American,AA Degree,8.35
Ventura,White,AA Degree,12.26
Ventura,All Races,AA Degree,10.42
Ventura,Asian/Pacific Islander,BA degree,36.57
Ventura,Black,BA degree,22.79
Ventura,Hispanic/Latino,BA degree,10.44
Ventura,Multiracial/Other,BA degree,26.08
Ventura,Native American,BA degree,9.65
Ventura,White,BA degree,27.69
Ventura,All Races,BA degree,21.81
Ventura,Asian/Pacific Islander,MA degree or higher,24.1
Ventura,Black,MA degree or higher,16.76
Ventura,Hispanic/Latino,MA degree or higher,4.87
Ventura,Multiracial/Other,MA degree or higher,17.33
Ventura,Native American,MA degree or higher,10.2
Ventura,White,MA degree or higher,16.98
Ventura,All Races,MA degree or higher,13.03
SCAG,All Races,Less than HS Diploma,18.22
SCAG,Asian/Pacific Islander,Less than HS Diploma,10.81
SCAG,Black,Less than HS Diploma,9.04
SCAG,Hispanic/Latino,Less than HS Diploma,34.05
SCAG,Multiracial/Other,Less than HS Diploma,5.86
SCAG,Native American,Less than HS Diploma,15.07
SCAG,White,Less than HS Diploma,4.7
SCAG,All Races,HS Diploma,21.49
SCAG,Asian/Pacific Islander,HS Diploma,14.26
SCAG,Black,HS Diploma,23.56
SCAG,Hispanic/Latino,HS Diploma,26.99
SCAG,Multiracial/Other,HS Diploma,15.3
SCAG,Native American,HS Diploma,28.23
SCAG,White,HS Diploma,18.01
SCAG,All Races,Some College,19.64
SCAG,Asian/Pacific Islander,Some College,13.43
SCAG,Black,Some College,28.35
SCAG,Hispanic/Latino,Some College,18.43
SCAG,Multiracial/Other,Some College,23.14
SCAG,Native American,Some College,26.68
SCAG,White,Some College,21.94
SCAG,All Races,AA Degree,7.56
SCAG,Asian/Pacific Islander,AA Degree,7.45
SCAG,Black,AA Degree,9.91
SCAG,Hispanic/Latino,AA Degree,6.14
SCAG,Multiracial/Other,AA Degree,9.48
SCAG,Native American,AA Degree,9.63
SCAG,White,AA Degree,8.77
SCAG,All Races,BA degree,21.11
