county,Asian/Pacific Islander,Black,Hispanic/Latino,Multiracial/Other,Native American,White,Total
Imperial,1.15,9.72,5.34,0,3.11,0.57,4.58
Los Angeles,5.37,2.69,11.13,2.95,1.56,1.58,5.95
Orange,3.65,2.46,11.31,2,2.17,1.2,4.25
Riverside,2.79,2.18,5.58,2.74,1.14,0.77,2.95
San Bernardino,3.06,2.26,5.77,2.42,2.54,1.13,3.52
Ventura,2.98,2.17,7.51,1.05,0.49,0.55,2.96
SCAG,4.59,2.58,9.5,2.62,1.68,1.27,4.89
